City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Seidu,9.0167,-10.6,72.61,18,51,1.81,SL,1673734412
1,San Felipe,10.3399,-68.7425,79.77,71,51,5.73,VE,1673734412
2,Jonava,55.0833,24.2833,41.05,89,100,5.75,LT,1673734413
3,Xining,36.6167,101.7667,4.6,91,95,2.17,CN,1673734413
4,Kualakapuas,-3.0091,114.3876,74.03,94,100,2.3,ID,1673734413
5,Rikitea,-23.1203,-134.9692,78.1,75,84,14.5,PF,1673734414
6,Ventspils,57.3894,21.5606,40.93,100,100,11.5,LV,1673734415
7,Kahului,20.8947,-156.47,82.98,56,20,6.91,US,1673734415
8,Mount Isa,-20.7333,139.5,76.77,78,100,8.05,AU,1673734415
9,Cayenne,4.9333,-52.3333,75.24,94,75,3.44,GF,1673734196
10,Hobart,-42.8794,147.3294,67.86,54,40,21.85,AU,1673734416
11,Saint George,37.1041,-113.5841,52.43,49,75,6.91,US,1673734416
12,Guácimo,10.2104,-83.6807,70.27,97,100,2.06,CR,1673734416
13,Hermanus,-34.4187,19.2345,68.81,74,90,13.51,ZA,1673734342
14,Tuktoyaktuk,69.4541,-133.0374,-8.32,98,98,8.16,CA,1673734417
15,Busselton,-33.65,115.3333,54.54,74,33,10.54,AU,1673734253
16,Brae,60.3964,-1.353,40.55,86,100,28.03,GB,1673734417
17,Butaritari,3.0707,172.7902,80.08,80,92,13.98,KI,1673734201
18,Kapaa,22.0752,-159.319,80.92,61,0,6.91,US,1673734293
19,Romny,50.751,33.4747,27.37,82,98,5.82,UA,1673734418
20,Nikolskoye,59.7035,30.7861,37.29,92,100,11.81,RU,1673734418
21,Ribeira Grande,38.5167,-28.7,55.78,61,54,21.99,PT,1673734419
22,Jalu,29.0331,21.5482,55.13,59,57,4.9,LY,1673734419
23,Tasiilaq,65.6145,-37.6368,23.16,59,100,16.91,GL,1673734237
24,Goderich,43.7501,-81.7165,26.91,68,4,13.06,CA,1673734311
25,Cherskiy,68.75,161.3,-37.12,99,65,1.21,RU,1673734420
26,Port Alfred,-33.5906,26.891,70.18,88,98,4.74,ZA,1673734420
27,Cape Town,-33.9258,18.4232,72.37,70,75,17.0,ZA,1673734257
28,Gizo Government Station,-8.103,156.8419,79.97,77,100,5.46,SB,1673734421
29,Port Elizabeth,-33.918,25.5701,72.1,91,100,3.44,ZA,1673734421
30,Punta Arenas,-53.15,-70.9167,53.71,54,0,27.63,CL,1673734217
31,Alofi,-19.0595,-169.9187,78.42,72,23,5.17,NU,1673734422
32,Ushuaia,-54.8,-68.3,53.26,50,40,3.44,AR,1673734322
33,San Patricio,28.017,-97.5169,71.69,45,0,12.84,US,1673734422
34,Bluff,-46.6,168.3333,60.08,70,1,0.31,NZ,1673734423
35,Avarua,-21.2078,-159.775,77.05,65,100,3.44,CK,1673734423
36,Saint-Philippe,-21.3585,55.7679,74.79,84,12,11.25,RE,1673734423
37,Chui,-33.6971,-53.4616,72.61,55,24,8.05,UY,1673734424
38,Lovozero,68.005,35.0117,30.45,85,100,1.41,RU,1673734424
39,Salinas,36.6777,-121.6555,58.98,80,75,9.22,US,1673734126
40,Nanortalik,60.1432,-45.2371,21.94,77,94,15.9,GL,1673734424
41,Chokurdakh,70.6333,147.9167,-32.87,98,100,1.72,RU,1673734133
42,Cidreira,-30.1811,-50.2056,73.18,74,100,10.33,BR,1673734425
43,Kokkola,63.8385,23.1307,32.04,97,100,3.44,FI,1673734425
44,George Town,5.4112,100.3354,76.95,94,20,3.44,MY,1673734426
45,Tiksi,71.6872,128.8694,-29.52,98,100,4.16,RU,1673734305
46,Clyde River,70.4692,-68.5914,-14.57,70,100,13.8,CA,1673734426
47,Yuba City,39.1405,-121.6169,57.24,86,75,13.8,US,1673734142
48,Bethel,41.3712,-73.414,32.02,70,100,13.8,US,1673734297
49,Chimoré,-16.9833,-65.1333,70.68,97,100,1.54,BO,1673734427
50,Barrow,71.2906,-156.7887,-7.58,84,40,18.41,US,1673734427
51,Abalak,58.1286,68.5944,9.41,97,99,7.29,RU,1673734428
52,Disna,55.568,28.1971,35.64,92,100,10.51,BY,1673734428
53,Cassilândia,-19.1133,-51.7342,72.93,92,93,5.08,BR,1673734428
54,Yellowknife,62.456,-114.3525,-1.44,77,100,8.01,CA,1673734429
55,Margate,51.3813,1.3862,44.91,74,100,5.01,GB,1673734429
56,Bandarbeyla,9.4942,50.8122,75.47,73,78,20.22,SO,1673734430
57,Jamestown,42.097,-79.2353,24.39,92,100,6.91,US,1673734430
58,Aklavik,68.2191,-135.0107,-13.23,97,100,4.16,CA,1673734430
59,Pochutla,15.7432,-96.4661,84.81,47,0,7.14,MX,1673734431
60,Luleå,65.5842,22.1547,6.87,92,77,2.3,SE,1673734431
61,Tabory,58.5198,64.5495,14.67,91,97,8.63,RU,1673734432
62,Cap Malheureux,-19.9842,57.6142,78.48,73,52,5.01,MU,1673734432
63,Mkokotoni,-5.8767,39.2547,79.21,79,89,10.09,TZ,1673734432
64,Puerto Ayora,-0.7393,-90.3518,82.36,90,84,5.99,EC,1673734433
65,Clifton,40.8584,-74.1638,34.83,65,100,14.97,US,1673734433
66,Vestmannaeyjar,63.4427,-20.2734,23.79,76,50,7.14,IS,1673734433
67,Quimper,48.0,-4.1,46.96,87,75,6.91,FR,1673734434
68,Saint Paul Harbor,57.79,-152.4072,36.91,100,100,4.61,US,1673734434
69,New Norfolk,-42.7826,147.0587,67.5,49,64,5.99,AU,1673734434
70,Caravelas,-17.7125,-39.2481,77.29,82,1,8.3,BR,1673734435
71,Listvyanskiy,54.4399,83.4984,12.67,91,100,21.0,RU,1673734435
72,Burnie,-41.0667,145.9167,63.95,61,29,15.39,AU,1673734239
73,Umm Kaddadah,13.6017,26.6876,60.4,26,68,12.62,SD,1673734436
74,Port-Gentil,-0.7193,8.7815,78.76,89,20,4.61,GA,1673734436
75,Iqaluit,63.7506,-68.5145,-10.48,94,100,4.94,CA,1673734436
76,Hithadhoo,-0.6,73.0833,80.17,67,97,11.12,MV,1673734309
77,Castro,-24.7911,-50.0119,65.97,97,91,3.98,BR,1673734217
78,Padang,-0.9492,100.3543,76.14,87,100,2.35,ID,1673734393
79,Tiznit Province,29.5833,-9.5,59.63,44,0,2.24,MA,1673734437
80,Grants Pass,42.439,-123.3284,57.83,89,75,20.71,US,1673734438
81,Acaraú,-2.8856,-40.12,80.35,79,94,15.17,BR,1673734438
82,Dikson,73.5069,80.5464,-34.73,94,16,3.58,RU,1673734438
83,Hilo,19.7297,-155.09,81.25,63,100,7.0,US,1673734439
84,Lompoc,34.6391,-120.4579,58.78,94,100,14.97,US,1673734420
85,Nouakchott,18.0858,-15.9785,69.73,26,44,10.02,MR,1673734439
86,Kaeo,-35.1,173.7833,68.32,86,21,12.39,NZ,1673734440
87,Coquimbo,-29.9533,-71.3436,69.53,64,0,13.8,CL,1673734397
88,Mataura,-46.1927,168.8643,70.74,54,3,0.56,NZ,1673734440
89,Katobu,-4.9408,122.5276,75.29,91,99,1.1,ID,1673734440
90,Havøysund,70.9963,24.6622,28.63,76,98,26.42,NO,1673734441
91,Dolisie,-4.1997,12.6739,71.56,96,95,3.49,CG,1673734442
92,Qaanaaq,77.484,-69.3632,2.95,67,100,7.05,GL,1673734147
93,Atuona,-9.8,-139.0333,78.39,73,70,11.59,PF,1673734444
94,Port Moresby,-9.4431,147.1797,79.63,79,96,3.22,PG,1673734445
95,Corpus Christi,27.8006,-97.3964,71.83,54,20,13.8,US,1673734446
96,Airai,-8.9266,125.4092,60.67,89,100,1.92,TL,1673734447
97,Ambunti,-4.2365,142.8448,74.91,98,91,2.01,PG,1673734448
98,Kiruna,67.8557,20.2251,0.52,78,47,5.75,SE,1673734448
99,Petropavlovsk-Kamchatskiy,53.0452,158.6483,14.59,86,100,20.13,RU,1673734449
100,Hong Kong,22.2855,114.1577,70.95,94,2,18.99,HK,1673734420
101,Vanimo,-2.6741,141.3028,78.55,88,90,3.22,PG,1673734451
102,Rio de Janeiro,-22.9028,-43.2075,85.96,70,40,11.5,BR,1673734452
103,Les Escoumins,48.1111,-69.0236,12.2,83,97,9.64,CA,1673734453
104,Lebu,-37.6167,-73.65,60.71,76,70,16.67,CL,1673734454
105,Vaini,-21.2,-175.2,87.96,74,40,9.22,TO,1673734455
106,Whitehorse,60.7161,-135.0538,13.01,85,99,3.0,CA,1673734456
107,Leticia,-4.2153,-69.9406,87.85,66,75,5.75,CO,1673734457
108,Bredasdorp,-34.5322,20.0403,67.82,68,97,9.51,ZA,1673734459
109,Norman Wells,65.282,-126.8329,-11.94,99,93,5.28,CA,1673734459
110,Constitución,-35.3333,-72.4167,64.4,62,19,16.82,CL,1673734460
111,Kindu,-2.95,25.95,68.67,99,100,1.88,CD,1673734462
112,Longyearbyen,78.2186,15.6401,28.24,80,75,23.02,SJ,1673734463
113,Palmas Bellas,9.2319,-80.0867,84.34,81,99,13.85,PA,1673734463
114,Grindavik,63.8424,-22.4338,19.87,63,0,6.91,IS,1673734465
115,Todos Santos,23.45,-110.2167,83.3,75,0,6.29,MX,1673734466
116,Arraial do Cabo,-22.9661,-42.0278,76.86,88,20,18.41,BR,1673734466
117,Nāgaur,27.2,73.7333,44.69,28,0,6.85,IN,1673734467
118,El Vigia,8.6219,-71.6506,80.08,83,64,2.21,VE,1673734467
119,Flinders,-34.5833,150.8552,76.37,69,5,8.99,AU,1673734468
120,Alvarães,-3.2208,-64.8042,75.07,87,94,2.62,BR,1673734469
121,Bonito,-21.1211,-56.4819,70.7,99,100,2.37,BR,1673734469
122,Port Hawkesbury,45.6169,-61.3485,51.91,95,100,6.91,CA,1673734470
123,Batagay,67.6333,134.6333,-51.63,99,97,2.44,RU,1673734471
124,Fairbanks,64.8378,-147.7164,4.6,79,100,0.0,US,1673734443
125,Broome,42.2506,-75.833,22.86,84,100,16.11,US,1673734306
126,Sumkino,58.1108,68.3244,10.15,96,97,7.65,RU,1673734472
127,Wagar,16.1525,36.2032,70.72,72,39,11.34,SD,1673734473
128,Esperance,-33.8667,121.9,57.42,71,2,11.14,AU,1673734473
129,Truth or Consequences,33.1284,-107.2528,67.91,20,0,9.22,US,1673734270
130,Rafaela,-31.2503,-61.4867,94.98,10,0,1.01,AR,1673734213
131,Baghdad,33.3406,44.4009,51.71,100,100,14.97,IQ,1673734180
132,Bathsheba,13.2167,-59.5167,79.41,73,20,14.97,BB,1673734474
133,Narsaq,60.9167,-46.05,10.62,85,81,5.64,GL,1673734474
134,Riverton,40.5219,-111.9391,50.5,55,75,21.85,US,1673734475
135,Ürümqi,43.801,87.6005,-13.85,84,20,2.24,CN,1673734441
136,Castaños,26.7833,-101.4167,71.19,20,0,8.05,MX,1673734204
137,Pevek,69.7008,170.3133,-23.69,99,10,3.33,RU,1673734475
138,Carrickmacross,53.9728,-6.7189,37.67,83,5,19.13,IE,1673734476
139,Albany,42.6001,-73.9662,27.34,77,64,1.01,US,1673734476
140,Sitka,57.0531,-135.33,42.69,81,100,4.61,US,1673734477
141,Chu,43.5983,73.7614,-6.65,92,5,5.82,KZ,1673734477
142,Tarko-Sale,64.9225,77.785,-24.14,100,58,4.0,RU,1673734478
143,Atambua,-9.1061,124.8925,74.35,89,100,2.3,ID,1673734478
144,Ust'-Omchug,61.15,149.6333,-28.5,97,100,7.94,RU,1673734479
145,Cabo San Lucas,22.8909,-109.9124,81.61,25,0,8.05,MX,1673734479
146,Puerto Escondido,15.85,-97.0667,85.03,61,20,5.75,MX,1673734479
147,Coolum Beach,-26.5333,153.1,80.11,74,99,1.99,AU,1673734471
148,Mahébourg,-20.4081,57.7,78.26,83,40,10.36,MU,1673734480
149,Deputatsky,69.3,139.9,-29.6,98,100,1.45,RU,1673734480
150,Mahibadhoo,3.7833,72.9667,79.41,69,87,6.78,MV,1673734481
151,Mar del Plata,-38.0023,-57.5575,71.83,75,0,13.0,AR,1673734405
